text_akhir,polarity
disosialisasiin tuju kayak acara klarifikasi segalaanda bawa senjata gaad masyarakat akses berani lawan,negative
waras suara serasa jahat,negative
asa suruh maaf,negative
haha suruh maaf tentara nasional indonesia maaf tniiiii maaf ca,negative
anjing tentara nasional indonesia bahan bakar neraka,negative
salut gera mahasiswa jaman kuliah mahal rektorat tunduk kuasa rakyat umum gugah juang sehat gerak mahasiswa,positive
bilang coblos nomer bungkam,negative
minta maaf balik anjir,negative
anjing indonesia gelap coy wkwk kawal menang,negative
bicara mama bawa emosi kadang mending bicara sumpah,positive
ayo mutualan instagram unfollow,positive
lan guyss ayo,positive
suka stain amp glossy effectnya isi pol murah coba merek glossy stain amp harga beda bagus rekomen harga murah ltk hasil,positive
drop meme koleksi lucu apa serah,negative
ryan nazar jumbo juta teman tahun jomlo nazar kenal cewek kantor belah please spill do si amp don thread starter first date biar topi sombrero video spill,negative
seblak pertama puasa nyeblak belummmm,negative
xl uangg terima kasih,positive
tangga tahun gaji minggat tipu artnya,positive
samper berani chat disamperin ciut wkwk logika bilang gaji beli cek handphone beli online situ duit gaji mana,negative
tangga muda laku persis suka curi baju uang,negative
merinding jir gaktau malu,negative
parah,negative
nama eka kacaw opung baekin kasih belikan handphone orang anggap eh bangun tidur cari handphone,positive
tolol modal,negative
ambil tangga better tua keluarga alam house chores cari rejeki anak keluarga muda kadang pikir pecat kerja,negative
alamat lengkap mana,negative
maaf flatshoes beli mana lucu moga sadar artnya,positive
alam maling ayg anggap keluarga umur tua mama tahun uang juta lumayan cash bayar tukang kperluan renov jera mama gaperna alagi,positive
tangga kos kamar kosong info tante kutek gong curi outer beli turki izin pulang kampung cek tas baju mama kotak kado berat buka bungkus,negative
part tag,positive
alami salah pegawai anggap ajak tinggal tidur kamar ambil celana pendek rok bh celana,negative
underware ambil tangga celanan adidas suami ambil spatula masak ambil beli mahal bagus bjir diamblin orang bolehin lantai daerah kuasa haha,negative
aaku curi celana uniqlo celana habis pilih celana baju bagus titip tetangga besok pamit henti,negative
spil muka,positive
tangga sepupu bajubaju bagus diambilin pantk pakein,negative
siii,positive
amuda risiko maling catokan merek remington harga juta an colong apas tawan marah resign kembali anjing,negative
kooo,positive
grok pornstar pensiun,negative
sumpah curi takut akhirat gimanavvv,negative
adek kisah sumpah artnya baju adek pakai in foto taro instagram taro facebook kwkwkwk salah,positive
apa barang pakai adik izin emosi gila abu kayak bantu gedek sumpah,negative
aura beda pas bantu,positive
aura pick me kuat sial,negative
tangga kalung emas uang tabung ludes tuduh om tangga ambil hhh,negative
wuaahh relate agw persiiss laku bukti aku badluck,negative
tangga muda belaga anjir,negative
nama naya anjing,negative
cakap,negative
barang ber merek maling jamet jamet jamet,positive
cerita majikan hutang bantu gaji tahun situ mudik lebaran tahun beli barang bantu wkwk,negative
maaf oot tangga muda jujur tangga,positive
kayak next wajib rekening biat bukti gaji cash tanda terima tanda tangan moga cepat selesai nderr,negative
alam tangga baju dipakein pakai foto facebook lumayan umur tangga sepakat diselesaik kasihan baju bagus hati jatuh kasihan,positive
astagfirullah mental maling anjir alhamdulillah tangga kamar beranta suka taro uang gasal celana meja handphone tablet disimpen beranta pas bangun rapi meja moga tangga amanah,positive
taun ganti tangga laku embat jam baju uang hias kenyang sayang inisiatif viralkan ginibukan adu nasib cerita laku salah mbak nurul pergok underwear bawa timun pas kamar,negative
alas hindar tangga muda,negative
cari tangga muda alam tangga muda baju dipakein handphone anjir swafoto telepon pacar izin samsekkkk tahu gara gara temu foto lupa hapus pulsa cepat habis jarang pakai,negative
alami huhu tahun tangga kerja pulang bunda facebooknya baju baju bunda pas ditanyain aku,positive
anti cari tangga muda banyak gaya sosialita tutup curi turut gaya hidup sabar,negative
fuck convers putih pantai akkkkk get well soon cuci,negative
abg sepupu tumpangin minggu eh pulang curi baju bangga sw baju kocakk,positive
lapor polisi biar efek jera,positive
ih kesal lihat lapor samper rumah,positive
next cari ayg umur matang data usaha serah fc ijazah kartu tanda duduk,negative
percaya gaji sdngkan tahun logika gaji beli brang tahu hasil curi wkwk beloon bohong akek gaya miskin duit,negative
amit,negative
bantu miskin tingkah,negative
alam sopir kantor mobil sedan tinggal kantor kunci bawa sopir mobil jas batik sepatu formal peci pinjam diam nikah nikah siri sabtu minggu klayapan partai komunis indonesia mblhahaha,positive
tangga muda barang hilang berani ambil parfum kaos kaki celana calvin klein pecat,negative
proses curi barang barang ambil minimal musnahin biar maksud curi,negative
pas mbak bantu pulkam ngambilin barang jepit ambil duit mbah ambil,negative
curi mama tangga gaji haha,negative
hem biasa miskin gaua tangga gaya elite,negative
ngtag speaker portable hilang hari tangga bulan pas geledah speaker selimut baju termos tinggal ponakan mondok keluh baju hilang jokes ambil,negative
mending sensor wajah biar malu,negative
sumpah diam babysitter tangga emak was was manusia ubah atap keluarga maling kriminal,positive
goyang bos laki berani,negative
tangga kunci pintu kamar pas sih kamar awas selesai meminimalisir curi lemari lupa kunci kunci bawa pokok kasih celah tangga,positive
dengar salah pilih tangga muda tangga hari tua ngambilin barang salah satu bayar utang pinjam uang amp bikin rumah datang debt collector aku rumah milik,negative
ampun oknum alg februari atemenku kabur gendam amp ngmbil duit bpkny teman adikenalin agens bsnya apes hias eyang maling anya orang penjara hias jual,negative
salah alas bantu,negative
pembokatnya kasih kayak cocok artplus,negative
flatshoes hitam merek dianable sayang lumayan mahal,negative
miskin gaya maling,negative
malu heran,negative
keluarga asince tk saran amuda muda better warga yayasan hati ayg janji pergi pas kontrak garansi yayasan habis,positive
jujur betteran tangga gaji lumayan pikir beli barang merek kaum dang mending gengsi ah alah tangga kocak bocah makan gengsi rela curi,negative
ibu artnya istri saudara bpkku ekonomi salah inti umur an bantu diksh tinggal beli motor gaji layak bantu sembakonya kadang beres kerja cari tangga tulus gampang susah,negative
asepupu tiktokan kamar permisi marah,negative
berangkat mudik suruh pergi grosir beli barang periksa bawa barang istri hias pakai,negative
duka cita moga rezeki ganti lipat hindar banget untung,positive
tangga modis muda,negative
kekeh baju beli bukti beli mana riwayat beli ecommerce,negative
ngewe cowok,positive
orangorang tenaga curi kasihan muda tanam sifat curi biar balas,negative
begini jedotin pala toilet tangga,negative
besok kasih gaji foto jabat tangan amp serta kasih tulis gaji xz tahun hem adu bacot oke tampar bukti valid,positive
tangga jahat banyak majikan sepenuh hati berani bos,negative
seru weyyyy wkwk devi maling kampung maling wkwk goblok,negative
spill akun tiktoknyaa silaturahmi,positive
artnya umur barang hilang beanie topi gtgt eh pas ketemu facebook mbak foto stuff kerja bagus hilang stuff,positive
sensor maling iar bar korban,negative
spill muka domisili takut ambil tangga,negative
barang punya enak jidat dipinjemin kadang cepat cepat kembali enteng curi post sosial media akan barang milik,positive
ih tangga curi baju mama handphone mamah curi tahu mamah dia playvic kerja telepon pacar,negative
depiiii depi laku dep,positive
amuda suka pamer media sosial duit kh,positive
duka pas mbak pulang mama ecek tas mbak trauma bawa barang tas gelas baju bawa mbak pas gede kantor,positive
nderaumur an ambil jilbab merek buttonscarves ria miranda gara gara facebook anak jilbab ambil barang cctv resign pas cctv,negative
devi devi barang hasil maling majikan gaya,positive
bos tangga pulkam cek barang bawa satu keluarga depan,positive
damn cari tangga pikir saran cari tangga percaya by the way thankyou kasih informasi laku tangga duka,negative
maaf to happen to moga ajar tenaga wanita sistem tenaga wanita terap next tangga gaji tanda gaji transfer cash both bos tangga ttdnya kertas cont,positive
yaelah manada maling aku wkwk bantu gaya,positive
masuk daftar hitam tangga instagram mbak,negative
saran ambil tangga cicana salur bayar oke,negative
jadi marah bilang maaf ganti alami hilang keluarga marah kasar ponakan balita tinggal dua,negative
bantu banyak gaya,negative
baju lebaran astaga pakai punya,positive
ih suruh suruh,negative
citra sok bilang sosialisasi,positive
kampus,positive
malu cok kampus,negative
idihh,positive
,positive
kacau seod,positive
mahasiswa lawan,negative
sekarat anjing negara,negative
mahasiswa salah,negative
sosialisasi tagih klarif tebal muka,negative
mampus unsut viral,negative
malun monyet,negative
erti pikir indonesia gelap,negative
,positive
ih najis aneh ganggu universitas bodoh,negative
idih,negative
sok asyik jir hijau,positive
pergi rumput sapu barak,negative
anjir unsud,negative
idihhhhh,positive
,positive
instansi cih,negative
unsud jelek najis,negative
gila,negative
kontolll kontol,negative
seram anjing,negative
kocak anjir,negative
anjir hadehhhh,negative
co kampus,positive
baca komen,positive
komenku hilang bjir,negative
konyol,negative
hoek cih brengsekkk,positive
,positive
badutt lawak,positive
maaf,negative
paksa,negative
gila,negative
udu lulus unsoed purwokerto isin,positive
hahhhhh beli handphone shopee kirim jne jugaaaakk sumpah takut akuuuuuu,negative
tipu warna yellow,positive
sameday instan,positive
tinggal kembali refund bayar asuransi kirim produk rela guess,positive
cod unboksing mas kurir kemarin beli handphone tolong anboksing kurir cod ceklis asuransi huhu sayang,positive
store blibli beli bliblinya percaya oknum jne blibli,positive
moga uang,positive
kasih saran,positive
takut beli gadget shopee,negative
jne mang berengsek kemarin beli hengfon seller kirim tanggal tanggal dikabarin barang hilang cek serial numbernya tanggal hengfon aktifasi setan,negative
video unboxingnya,positive
kurir nakal anjing monyet pikir beli handphone tabung darah rela beli biar tabung setan kasih kerja amanah bayang motor hilang setan,negative
anjir co handphone akulaku packaging bjir samasama jne dus dobel plastik wrapingnya,negative
ajar percaya buka store resmi,positive
beli store shoope september resi nama terima deskripsi barang kirim jne express kalimantan timur pilih expedisi tulis note,negative
shopee jelek uang konfirmasi transfer google service tai,negative
beli ip shopee tulis salah jasa kirim hubung hold barang isi amp kasih opsi ambil situ,negative
menggenarilisir kurir teman saudara kurir expedisi sedia ecomm suka ngambilin barang customer sepatu adidas laptop handphone iphone barang modus stiker alamat ganti alamat,positive
here jne pas isi gembok dus oppo jne,positive
id jne bobrok bagus jnt lepas beloon,negative
stop bilang plesetan,positive
kemarin beli iphone live tiktok murahbarang aman segel toko hidden terang isi paket,positive
bukti foto amp unboxingnya return proses ecommercenya salah mana salah ecomnya expedisinya alas retur pilih barang sesuai,negative
kasus adik adik beli charger set terang kepala charger kabel pas kepala charger harga anjjj pas dichat toko balas,positive
beli handphone online usaha antar instan kemarin beli antar instan gojek alhamdulillah selamat,positive
cek gerai mana barang kirim cctv tahu prose hilang mana bosa kurir bjs sortir jual nakal nagakalin barang cek jual mantan cctv proses peking,negative
sabun yellow,positive
jne kayak problem akhirakhir tiktok viral,negative
pesan handphone shopee takut aselii aman jne,negative
tahun beli iphone shopee sumpah ketar tir kirim jnt alhamdulillah selamat,positive
ajuin pengembalia barang dana app shopee bantu fu tim kait ekspedisi video unboxing,positive
coba kembali dana sesuai kondisi resi,positive
akujuga kemarin beli tab aman gadikasitau deskripnya paket dus ngeciriin isi tablet toko tholol inimah,positive
goblok beli handphone online store,negative
jne anjing,negative
huhu moga uang februari kemarin beli ip shopee kurir shopee ekspres alhamdulillah amanah prihatin moga uang,positive
rekam pas buka paket moga rekam bukti,positive
suggest beli barang mehong mending toko uang brgnya drama worried barang moga proses refundnya hasil,negative
beli handphone shopee packingnya kayu waktu official mal,negative
sumpah takut habis co ipad sini parah akh sengaja pencet pesan terima aju kembali,negative
saran beli harga lumayan mahal mending cod cek pas kurir,negative
coba refund alam tipu hasil uang,positive
njrrr co gadget shopee kirim jne by the way sedih moga proses refundnya lancar thnkuu lini,positive
alhamdulillah kemarin beli iph ibox shopeeexpress aman aga dagdigdug ser moga telepon genggam amin,positive
beli gadget oke shopee pilih spx ambil garansi lo aduh jnt jne kocak depak kurir ratarata,negative
beli handphone diolshop ditokped ekspedisi jne semper panik random co proses kirim minggu panik alhamdulillah barang sesuai sen,negative
kemarin beli samsung shopee beli officialnya kirim kurir toko jne shopee status kirim stuck takutt hilang wkwk alhamdulillah selamat,positive
alam beli handphone laptop kulkas shopee kirim instan kirim biar aman driver amanah enggak anter paket driver jaga fotovideoin barang pas ambil biar salah,positive
maaf pas tertawa gara sabun,positive
indonesia indonesia,positive
id,positive
ih beli handphone shoppe spx hemat syukur handphone aman walapun waktu degdeg an huhu,positive
astaga bisabisanya toko hidden deskripsi produk cegah oknum nakal ekspedisi ampun coba rekan shopee lapor rekan ofc store shopee instagram biar bantu fu kasus,negative
hindarin beli barang mahal dekat lebaran nderrr kupon goda,negative
abel ampun sedih anjrittt erti kasih saran jadi reply an kasih saran coba moga barang cepat huhu,negative
tuhan pesan ipad tiktokshop antar jampt ih aman takut jadi,negative
beli live ttsyop sensor nama paket oper kurir ket no telepon trllu ovt fix gudang jne,positive
biasa ketik muslim non bilang ampun tuhan ketik yawla anjing muak baca yawla yawla yawla tolol bodoh pelihara,negative
curiga kurirrnyaekpedisi takut ambil tukar sabun,negative
tim beli hellostore pilih gapercaya jasa expedisi barang beli sensitif kayak ip,negative
saran barang mahal beli offline kurir jaman maling paket spx maling tanggung ekspedisi,negative
baca bijak shopee dajjal bijak,positive
percaya shopee semenjak barang sesuai asuransi pas klaim acc duit anjir desember,positive
saran,negative
beli ponsel online takut testimoni ekspedisi nakal,negative
pantau lanjut,negative
kantor shopeenya,positive
viralkan eks ops ekspedisi tindak lanjut putar urus case cust handphone hilang bantu bulan selesai,negative
tiktok beli ip curi jne hati hati guyss kurir storenya lalai kirim barang sensor nama barang anjir undang curi,negative
salah kakak worry beli toko pengalman beli produk mahal,negative
cod shoppe beli kamera cerita tukar ambil barang apa paket kirim jahat laku kelompok flashdisk barang kcl,negative
coba hardcomplaint shopee hellostore jne cctv packing proses jne kemarin puasa kirim ipad kalimantan jnt jelas minggu paket stuck bawa kabur supir jnt ganti jnt alot,positive
dungu catat nama produk tutup,negative
beli handphone oren wajib terima cek alam beli samsung official pas anter kurir terima sangkut cek bela tunggu pulang halte bus titip security,negative
salah expedisi fix screenshoot video bagi segel buka salah store lihat isi paket,negative
pas barang terima kurir konfir pas beli handphone shopee kurir ketemu pesan wajib foto terima paket,positive
anak blibli barusan baca casenya tiketcom eh kelas bikin case clear malu,negative
iphone erafone terang produk sembunyi bisa pampang iphone undang jahat payah jual,positive
beli shopee prosea mending tokped duit,negative
up media sosial mention ekspedisi ecommerce moga bantu,positive
kuning,negative
auto cek video unboxing waktu beli ip toko oren official ketik iphone terang barang pc barang starlight alhamdulillah aman,negative
kocak toko barang mahal hiden beli handphone ofc store shopee samsung digimap ibox aman iboxampdigimap pakenya reguler kirim kejar toko salah dia terang,negative
saran beli barang elektronik handphone opsi day gojek protector kayugabus jamin aman beli handphone ipad macbook via online store opsi anter day aman,negative
jaman ngubah yawla,negative
sumpah sesak oi,negative
duhhhh beli digimap nama produk hidden gituuuuuu moga cepat dana,positive
alas beli barang elektronik apa online shop,negative
aman beli blibli warna kosong sabar sabarin,positive
mending toko hijau barang mahal,positive
takut pesan handphone online,negative
toko rating bagus keanya nakal ekspedisi toko rating bagus kirim barang sesuai minggu kemarin beli olshop aman toko terpecaya ekspedisi masalah,negative
id kocak tolol,negative
jne anjir kasus hilang barang harga waktu kuliah teman dikadoin laptop ibu paket hilang pas klaim kembali duit nya harga laptop kacauu jne,positive
ningkatin fungsi otak tahap kesini susah fokus suka ngelag ajak bicara pikir lot tolong baik,negative
pacar,negative
chat slrg baca bahak,positive
ekor,negative
driver kocak proud of,positive
baca bahak,positive
pacar,negative
,positive
lucu,positive
terima kasih,positive
ih pacar mitos zaman purba,negative
senam,positive
jumbo hachi,positive
kirim foto,positive
dc cakung,positive
pacar lucu customer lucu,positive
izin nimbrung turut lucu,negative
pacar tidur ganggu,negative
pacar chat fokus tani aspri,positive
no context dikirimin muka kerbau anjing,negative
pacar,negative
hts lucu hts lucu,positive
percaya bilang gajah,positive
ajak tonton pabrik gula uncut,negative
baca tertawa,positive
oot lucu teman ketik autotext anjing,negative
cowok salah ketik,negative
bagi nontonin genre romance,negative
pacar,negative
cari pacar,negative
haha tertawa nada jomlo,positive
panik anak suka umpet,negative
pacar chat,positive
ih seru pacar bikin iri ikut,negative
eh jumbo dumbo maaf salah pas fyp gajah,negative
wkwk,positive
selagi waria gaspol konteks ajak dinner bonus kerja,positive
take down post pacar,negative
pacar pacar selingkuh,negative
swamik,positive
tragedi lagu ayeon,negative
manusia sticker,positive
pacar lucu ulang tahun by the way,positive
nderr,positive
punten pacar hahahhaa on the way gila,negative
hts join,positive
pacar ajaib laku,negative
cowok,positive
hapus pikir,negative
tonton pacar kemarin,negative
lucu keren sayangg,positive
lucu,positive
putus diam gigit,negative
singkat padat geloooo,negative
pacar teman anak suka reptil,negative
pacar alas,negative
jumbo gede,positive
pacar lucu,positive
malam nanyanya,negative
sengaja single singgung,negative
massu kereta listrik belah tinggal bisikin,negative
suami iya jumbo,positive
pacar,negative
butuh tangan apaaaa,negative
dumbo kembar kambing,negative
minimal pacar,negative
jalan jalan malam,negative
teman,positive
yeuu minimal ah alah,negative
hapus sumala,negative
balas,negative
cowoku asyik asyik maksud,positive
minimal egk,negative
,positive
nyengirnya,positive
pacar cari kayak ketemu wujud,negative
jumbo seru,positive
minimal mah pacar engx,negative
pacarmending tidur,positive
pacar,negative
pacar,negative
jumbo saudara dumbo mmf,positive
pacar,negative
mama papah tolong ajak adekkk,positive
gpnyaaa ih atuh,negative
pacar syuting anime umemiya,negative
pacar sakit,negative
,positive
pacar bentar cari,negative
suwun ngece,positive
haha lucu,positive
jumbo jir kasih sedih,negative
pacar,negative
stop bikin iri,negative
minimal pacar,negative
putus,negative
aaa,positive
malam capai cari,negative
time kemangi cuci tangan kemangi cuci tangan kemangi lalap,positive
ha serius tonton konser bela bela utang ih malu atuh,negative
lucu jawakarta,positive
mutualan instagram yuukkk drop link,negative
side dish gcan under proper,positive
ayo mutualan instagram lupa ikut,negative
yuukkk mutualan tiktok gaissss,positive
suka makan tempe mentah teman,positive
iya si,positive
april,positive
tolong bantu doa anak lahir sehat hpl tanggal kuat habis suami unggah foto nikah cewek bio ignya pasang usn cewek anak tengokin,positive
pagi pemandanganya,negative
ddepan mas kereta sungai,negative
view waktu pagi abai wajah bojo,negative
gunung kaki gunung gemercik suara air terjun mini wwkkwkwkw suara sungai,negative
arjuno tepat pendem junrejo kota batu,negative
ujung kuku jempol kaki gunung lumayan padat wonosobo,positive
lapang,positive
indah kaki gunung didongengdongeng,positive
ai ragu temu gambar foto bagus,negative
area sawah jam pagi kabut,negative
tengok ketemu om dino senjoyo,positive
pas bangun pagi hirup udara segar dingin hidung asa nyereng,negative
barat rumah mas rapi merbabuini subuh pas jalan kaki santai,positive
minum kopi bro,negative
padat,positive
jual tanah viewnya barangkali,positive
view pas buka pintu mass,positive
nyaman bang hampar sawah milik sang milik,positive
dingin derajat pagi,positive
kannnn video ariel noah ciduk wulan guritno benerrrr,positive
tebak durasi video,positive
agens konfirmasi urus pribadi artis erti,positive
artis cantik dipacarin ariel,positive
janda sexy blaster babat habis boril,negative
pikir erti,negative
doyanya hot mom,negative
,positive
sophia latjuba wulan guritno selera ariel wine mahal,positive
agens confirm,positive
baca reportedly mating,positive
ariel noah wulan guritno kabar pacar warganet restu,negative
selamat bang ariel,positive
selamatt,positive
duhhh mbak wulan cakap gila cocok bang ariel,negative
goks selera,positive
aduh tolong imajinasi mana,negative
tunggu fpsnya,negative
ha kaget,positive
normatolong,positive
but selamaatt,positive
moga,positive
moga meni,positive
kasih lini threadnya nu tahlil hidang makan makan ringan kasih makan terima kasih warga doa almarhum almrhmh,positive
budaya tega tega berat keluarga duka ngejamu tamu doa contoh salah desa indonesia nasi gambar beda,negative
waktu papah tinggal menang tarik tetangga duit makam tahlil hari selesai menang pikir duit tabung hari papah,negative
owlah,positive
bicara teman tinggal beras tamu nama buset beras kg ratus tamu doa tinggal ojek online,negative
salah saudara tinggal tahlil kasih makan buku yasin suka foto nama anggota keluarga ituloh eh nyinyir keluarga tahlil kasih buku yassin,negative
nasilauk pauk habis nasi tahlil nasi harihari ky air gelasgorengan saudaratetangganya cari untung,positive
lahan bisnis mengintimadasi keluar duit nyolatin mandi kubur ribut media sosial belah hajat tulis kembali amplopjumlah uangnama umum publik,negative
daerah anjir jabodetabek tilap,negative
maaf awam kasih bantu uangmakanan karang bunga uang habis lumayan,negative
nu suka ada tahlil tahlil muhammadiyah tahlil keluar uang puluh juta,positive
maaf ajar islam tradisi islam nu prosesi tinggal islam sederhana mandi kafan menyolati kubur,positive
tuju kalah tidur antuk lawan lapar pilih tidur makan,negative
guyscapebangetnyerah,positive
capai capai banget arrghh,negative
salah cut off teman gara gara confess pacar,negative
crush suka,positive
main game saran game seru habis,positive
capai tidur tidur,negative
guysss bagus cewek by the way,negative
terima kasih nyiptain makan enak ubi cilembu,positive
hari makan,positive
dewasa serba salut orangtua survive,positive
judul skrpsi ganti risol mayo,positive
eh kocak minggu kirim chat sleepcall asing anjjj,positive
nasib kalah kalah kalah,negative
abang dermawan,positive
mbak mbak telat nikah usia tahun tolong kasih suami hidup makan tidur,negative
anak tunggal strict parents aneh tunggal dibebasin tanggung,negative
wajar aga jauh teman kuat gaul gaya hidup,negative
do and do not umur tahun,positive
moga lambat lambat harga,positive
habis lebaran mam seblak,negative
opini sisi buruk kadang bikin kaget nilai kasih ruang toleransi biar terima buruk nilai buruk kasih ruang baik,negative
cowok bilang cowok lindungin perempuan mann look at this theyre her famili her closest famili aman perempuan,positive
perkosa pakai waktu kurang terap syariat agama anak tahun mahram salah korban jahit mulut akal sehat ajak bicara,negative
perkosa sekolah perkosa guru pesantren perkosa ustad jalan perkosa preman lapor polisi perkosa polisi negara bahaya perempuan,positive
indonesia bijak hukum mati perkosa pedo minimal hukum berat penjara negara cokk perkosa tanggap serius taikkk,negative
tinggal ber kakek nenek sedih jadi duga kuat waktu nenek tinggal dunia makhluk coba by the way paman dibotakin baju sopi,negative
anjingbangsatgak ngotak gila sensor muka bejat keluarga bodoh anak ngotak ngotak beloon dahhh tolol jaga rusak,negative
muka sensor kayak nerapin mukamuka jahat sensor biar dunia mukamuka jahat penjara sanksi sosial dibully umur hidup mati,negative
beginu kasih hukum mati macet wkwk alias duduk indonesia kurang tahun over tahun lini,positive
baca menang manusia manusia darah daging ajggggg pikir jahat anak tahun astagfirullah moga busuk penjara amp neraka,negative
tebas tebasss,positive
nafsu anak,negative
guebacanyasedihadekanak tahun tahun hidup bumidiperkosa kakek om sendirisedangkan hidup waktu tuhan kasihgimana janani hidup,positive
mending hukum mati anw salah pakai wanita buka lebarlebar pikir pikir stuck situsitu mending banyak ajar logika anjing salah pikiranpikiran otak isi selangkang banyak tonton bokep kimak,negative
bapak bapak sayang jaga rusak depan anak sakit hati baca berita,negative
inimah pantek biar saudara leceh anak aakkkkkk ayah anjiang anjiang,negative
mentang mentang goblok gratis borong,negative
kaum komen cewek pintar jaga buka gede biar realita even anggota keluarga percaya tahan nafsu kontol,negative
laku leceh tembak mati potong habis burung persetan ham anjimmggg,negative
gila babi anak tolol goblok model laki bolehin hidup dunia herannnn,negative
tolol tolol sensor anyinggg kesal setan tempel jir,negative
bonyok lumpuh penjara mati,positive
moga mati penjara gebuk siksa napi ampun,negative
shock astagfirullah kasihan korban tega keluarga,negative
habis pikir anjing orang binatang binatang sayang anak kontol luuu pikir puki,negative
kebiri tolong dengar sesak nafas bisa dekat iblis kebiri langgar ham sangka lebih langgar ham astagfirullah,negative
anjng kandung doa mampus dilapas,negative
malam baca berita dada sakit pala sakit sakit menang malam pagi bangun muka kodok bajing cincang kontol congkel mata pergi kuku satusatu patahin jari iriss pentil kuping,negative
salah cewek jaga salah cowok jaganahan hawa nafsu plsss normalisasi tindak rusak mental korban,negative
laku perkosa kebiri anjing sakit hati baca berita usia tahun kasih rudal iblis bajing kelamin nampung rudal astaga iblis bajing,negative
bajing anak umur tahun aman keluarga go pedo,negative
bayang trauma anak balita coba,negative
oranggg amuk minimal pengkor tititnyaaa potong anjir,negative
hukum potong kontol laku perkosa sahkan,negative
ayah kandung lindung rusak manusia percaya cewek keluarga takut paham pakai pikir cewek manusia nafsu,positive
otak bokeppp otak kontollll jahanam cowok najis jahanam layak manusia tolol mampus anjinggggg layak hidup monyettt gampang sange michat murah tolol keluarga goblok sumpah mati sel anjing neraka tingkat tolol,negative
napi tolong hajar mati siksa dimatiin keluarga kontol anjing laku bangsatt,negative
pas keluar stiker,positive
saking shocknya bingung,positive
nafsu anak umur tahun otak dimanaaaaa apa ngelindungin putri kecil perkosa gblkkkk,negative
tolong kasih hukum kejam,negative
tahun blogg anak keponakan cucu bloggggg pas bagi otak tidur,negative
alas kebiri terap negara salah satu lindung oknum ting jerat pidana perkosa kena imbas hukum kebiri,negative
keluarga atas rusak miris,negative
manusia manusia normal nfsu anak fix binatang hukum ala binatang kasih ksemptaan hidup ibu penjara habis,negative
punten akang mending urus urus palestina mon maaf hate speech palestina but know your priorities,negative
manusia berani kejam ibls kalah astagfirullah,negative
pedofil anjir,negative
capai kemarin berita perkosa anak korban benerbener aman perempuan andai hukum tembak pemerkosan pedofil indonesia,negative
bayang trauma adeknya,positive
gila lucifer insecure laku,negative
gblok anjing anak diperkosaa idiot sumpah kandung lo aih takutt cewek cewek sekarangg keluarga biadab,negative
najis najis moga neraka jelek bisa tega anjinggg anak goblok darah daging otak,negative
tolol anak tahun tetenya ngewe gobloook gobloook mending sewa lonte ribu kocak,negative
salah korban coba mbamba leceh kereta listrik kemarin salahinnya mbamba case salah adik otak laku beres laku laku binatang,negative
benci banget baca tololll biadab anjggg layak manusia babiiikkkk goblokknyaaa otak pakai hati anak cokkkk anjgggg,negative
laku perkosa hukum pergi titit greget hihhhhh,negative
alami om om adik om ipar suami tante mesum ajak ngew kamar intip mand bongkar rahasia,negative
aman perempuan zaman jaga ayom serang najis pantek anak bocah layak tembak mati,negative
mati nembus buat wahaiiii iblisssss binallllllllllll,positive
ayah lindung anjir bisa tolol makan anak,negative
indonesia india perkosa cewek objek muas nafsu tolol anjinggggg greget nyakar muka,positive
hewan laku tahi bisa sange anak tahun anak saudara goblok mampus busuk penjara mati anjing,negative
manusia jenis spesies manusia normal bjirrr makan tumbuh kembang siluman kayak takuuuttttttt,positive
astagfirullah biadab anjir sakit hati,negative
anak kampang,negative
shocked sensor muka,positive
otak nafsu umur,positive
manusia bejat neraka,negative
melotot anjing baca,negative
iblis,negative
goblok ih,negative
buset bejat turun,negative
kebiri penjara kapok kasihan korbanya umur ambil pelindungnyaga bayang mental korban pahambapa perkosa,negative
temu cocok ldr,positive
film bagus ramai cari celah jatuh jumbo tahun marak boikot argumentasi ngalorngidul tonton gara gara,negative
syukur hidup hilang semangat,positive
hadap cowok ancam bundr mabuk narkob tinggal tinggal takut posisi mapan gampang beli,negative
lapak mutualan instagram lapak mutualan instagram,positive
kuku luka jari habis jepit pintu sakit kirakira sembuh doa biar cepat sembuh maaciw,negative
kochengg guysss saran nama bocah cilik by the way ceco,negative
sadar usia masakan terong anti terong,positive
anak gender sifat,negative
ayo coba spill screenshots handphone,positive
umur tulang punggung keluarga anjing,negative
shehe is suka makan kamar tidur kasur ruang makanmeja makan,negative
bahasa bayi vasektomi biaya habis siap sakit pokok vasektomi,negative
first meet mutual mal oke makan duduk mana,positive
baju bagus kerudung warna,positive
pacar kuliah suami akhlak agama sayang tebal dompet harta cinta,positive
sh perempuan bahagia ikut happy pikir moga besok,positive
keuwuan langkah jodoh amin allahumma amin,positive
meni senang temu temu prnya jeli nilai inituh sifat asli berpurapura masuk dekat cinta susah nilai objektif,positive
sopan baca sayangg istri moga baca pasang cinta besar sehat hamil,positive
waktu indonesia wish,positive
suasana hati nikah gantung lini anjing laki model,positive
meni tepar,positive
marriage isnt scary at all the right person nunda tahun oke putus lepas kb minggu hamil diturutin mudik belgiaindo bayar cari daycare wkwk cinta my husband,negative
maksud,positive
propaganda perintah naik rate nikah,positive
senam senyum,positive
dunia milik ajaah,positive
masyaallah temu bahagia laku mata hakim salah,negative
